Question ID,Question,RAG Answer,Reference Answer,LLM Model,Embedding Model,Chunk Size,Context Quality (1-5),Answer Relevance (1-5),Answer Correctness (1-5),Faithfulness to Context (1-5),Notes
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Die Baupläne sind an das Enteignungsamt zu schicken, um die Genehmigung für den Umbau oder die baulichen Änderungen einzuholen.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Die Baupläne sind in siebenfacher Ausfertigung auszustellen und die voraussichtlichen Kosten müssen in einer Aufstellung dargestellt werden.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?, 9 m,"1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"definiert als Gebäude, die überwiegend für das Ausstellen und Verkauf von Waren bestimmt sind","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vorschießen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?," Nein, da dein Gebäude eine Differenz von 4m hat und das maximale zulässige Maß nur 3,5m beträgt.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.," Ja, das ist möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfacher Ausführung muss hergestellt werden, dessen Breite nicht mehr als 1,5m betragen darf.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig muss in einfacher Ausführung und einer Breite von höchstens 1,50 m hergestellt werden.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?, 9 m,"1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"“Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.”","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vorschießen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"Nein, da Sie die Gebäudehöhe um mehr als 4 m überschritten haben.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.," Ja, das ist möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfachster Ausführung mit einer Breite von höchstens 1,50 m muss hergestellt werden.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfachster Ausführung muss hergestellt werden, jedoch nur in einer Breite von höchstens 1,50 m.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?, 9 m,"1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"“Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.”","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vorspringen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"Nein, da Sie die Höhenbeschränkung von 26 m nicht einhalten, ist kein vereinfachtes Baubewilligungsverfahren möglich.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"‘Nein, das ist nicht möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?, Ein Baum in verschulter Qualität muss im Garten gepflanzt werden.,"10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfachster Ausführung muss hergestellt werden, dessen Breite nicht mehr als 1,50m betragen darf.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?,"
Ein Gebäude in Bauklasse I darf gemäß Artikel IV in Wien eine Höhe von höchstens 4,5 m über der zulässigen Gebäudehöhe haben.","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?,"
In Gartensiedlungsgebieten in Wien ist eine maximale Dachneigung von 20 Grad zulässig.",2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"
Einkaufszentren sind Gebiete, in denen sich mehrere Geschäfte verschiedener Art an einem Ort befinden.","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?,"
Keller- und Grundmauern dürfen bis zu einer Tiefe von 15 Metern keine Vorsprünge zeigen.",4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"
Nein, da dein Gebäude eine Höhe von mehr als 20 Metern hat, kannst du kein vereinfachtes Baubewilligungsverfahren erhalten.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?,"
2 m",6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"
Nein, das ist nicht möglich.
Die maximal zulässige Größe eines Schuppens beträgt in Wien 25 m².","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","
Nein, in der Bauklasse I ist die maximale bebauten Fläche auf einem Grundstück 90m².","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?","
Ja, du bekommst dafür eine Entschädigung in Höhe des vollen Grundwertes.","9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Nach der Fertigstellung deiner Bauarbeiten musst du deine Hauskanäle räumen, die Ausmündungen in den Straßenkanal flüssigkeitsdicht abmauern und verputzen. Schliefbare Hauskanäle musst du entweder einschlagen und ausfüllen oder in Abständen von höchstens 2 m abmauern und dazwischen ausfüllen. Rohrkanäle musst du an ihren Einmündungen in die Putzkammern abmauern, die Putzkammern musst du ausfüllen. Senkgruben musst du nach Räumung, Einschlagen der Decke und Aufbrechen der Sohlen ausfüllen.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Die Behörde ist vom Beginn dieser Arbeiten zeitgerecht zu verständigen.
Die Vereinbarung eines anderen Aufteilungsverhältnisses ist im Grundbuch auf den Einlagen der beiden Bauplätze anzumerken.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?,"
Ein Gebäude in Bauklasse I darf eine Höhe von 22 Metern nicht überschreiten.","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?,"
In Gartensiedlungsgebieten in Wien ist eine maximale Dachneigung von 30° zulässig.",2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"
Einkaufszentren sind Gebiete, die für den Einzelhandel reserviert sind und eine Sammlung verschiedener Geschäftstypen beinhalten.","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?,"
Keller- und Grundmauern dürfen bis zu einer Höhe von 1,50 m über dem angrenzenden Gelände hervorragen.",4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"
Nein, da dein Gebäude eine Höhe von mehr als 26m hat, ist es nicht berechtigt, ein vereinfachtes Baubewilligungsverfahren zu erhalten.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?,"
Ein Bauplatz, ein Baulos oder ein Kleingarten darf nicht zwei oder mehrere Grundbuchskörper umfassen, wobei ein Bauplatz oder Baulos zur Gänze im Bauland, ein Kleingarten zur Gänze im Kleingartengebiet oder im Kleingartengebiet für ganzjähriges Wohnen liegen muss.",6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"
Ja, das ist möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","
Nein, da die gesamte Fläche des Hauses über der Erde nicht den Mindestanforderungen entspricht.
Die Gesamtfläche von 250m² + 360m² = 610m² ist zu groß.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,,,,,
