Question ID,LLM Model,Embedding Model,Chunk Size,Context Quality,Answer Relevance,Answer Correctness,Faithfulness to Context,Notes
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,3,1,1,"No fixed rule invented"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,3,5,5,4,"Correct prohibition, minimal justification"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,5,1,1,"Fabricated total-area rule"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,5,1,1,"Wrong yes – should be gratuitous transfer"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,4,1,1,"Fabricated building‐notice duty"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,4,1,1,"Irrelevant breach‐remedy advice"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,1,1,"Wrong max height (22 m vs. 7.5 m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,4,2,2,"Generic def, missing area thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,1,1,"Incorrect protrusion (30 cm vs. 20 cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,4,1,1,"No fixed‐rule claim, wrong"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,5,5,"Correct prohibition"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,1,1,"Incorrect cellar rule (counts underground)"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,5,5,5,"Correctly denies compensation"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,3,1,1,"Nonsensical permit advice"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,64,2,2,1,1,"Irrelevant compliance rule"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,1,1,"Wrong max height (22 m vs. 7.5 m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,4,2,2,"Generic def, missing area thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,1,1,"Incorrect protrusion (30 cm vs. 20 cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,4,1,1,"No fixed‐rule claim, wrong"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,5,5,"Correct prohibition"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,3,1,1,"Incorrect cellar rule (counts underground)"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,5,1,1,"Affirms compensation incorrectly"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,2,1,1,"Fabricated notification requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,128,2,2,1,1,"Generic finishing rule, not context‑driven"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,1,1,""
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,1,1,"Wrong roof pitch (45° vs. 25°)"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,3,3,"Good base def, missing thresholds"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,5,5,"Exact protrusion limit"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,5,5,"Correct exclusion by height > 26 m"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,5,4,"Correct distance, misses exception"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,3,1,1,"Permits forbidden shed"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,1,1,"Incorrect approval of cellar"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,1,1,"Wrong compensation granted"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,5,5,5,"Correct: no notification needed"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.125,3,2,1,1,"Irrelevant legality response"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,1,1,"Wrong max height (9 m vs. 7.5 m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,2,1,1,"Non‑specific pitch answer"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,3,3,"Mentions services, missing exact thresholds"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,5,5,"Exact protrusion limit"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,5,5,"Correct exclusion by height > 26 m"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,5,5,"Exact 2 m distance"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,1,1,1,"No‑answer placeholder"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,1,1,"Incorrect cellar logic"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,1,1,"Wrong compensation"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,3,1,1,"Fabricated sidewalk rule"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.25,4,2,1,1,"Repetitive fabrication"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,1,1,"Wrong max height (9 m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,5,"Correct pitch=25°"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,5,"Exact thresholds"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,5,"Exact protrusion=20 cm"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,5,"Correct exclusion"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,5,5,"Exact 2 m distance"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,1,1,"Wrong permit conclusion"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,1,1,"Incorrect cellar logic"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,5,1,1,"Still wrong compensation"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,1,1,"Fabricated sidewalk/tree rule"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,1,1,"Repeated fabrication"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,2,5,1,1,"Wrong 5‑storey height"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,1,1,1,1,"No pitch info"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,2,5,3,3,"Generic def, missing thresholds"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,2,5,1,1,"Wrong protrusion (60 cm)"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,5,5,5,5,"Correct exclusion"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,1,1,1,1,"No‑info window rule"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,3,1,1,1,"Permits forbidden shed"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,3,1,1,1,"Fabricated area rule"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,5,1,1,1,"Wrong compensation logic"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,4,1,1,1,"Incorrect informing duty"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,1,3,1,1,1,"Irrelevant remedy rule"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,1,5,1,1,"Wrong height (22 m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,1,5,1,1,"Wrong pitch (30°)"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,1,4,2,2,"Generic def, missing thresholds"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,1,5,1,1,"Wrong protrusion (50 cm)"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,5,5,5,5,"Correct exclusion"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,1,1,1,1,"Irrelevant land‑use text"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,3,1,1,1,"Permits forbidden shed"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,3,1,1,1,"Wrong cellar limit logic"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,5,5,5,5,"Correctly denies compensation"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,2,1,1,1,"Fabricated special‑permit text"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,2,2,1,1,1,"Irrelevant breach‑remedy advice"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,2,4,2,3,"Incorrect height (15m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,1,3,1,2,"Missing roof slope details in the context"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"General definition, lacks specific legal details"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate and clear"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate and complete interpretation"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"Accurate, lacks full context on exceptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,2,3,2,3,"Partially correct, lacks full legal context"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"Confusing basement exclusion and size calculation"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate legal interpretation regarding land transfer"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,2,2,1,2,"Incorrect pool registration details"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate legal interpretation for pool with over 60m³"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,2,4,2,3,"Incorrect height (15m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,1,3,1,2,"Missing details on roof slope regulations"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,3,4,3,4,"General answer, lacks legal specificity"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,5,5,5,5,"Accurate legal reference"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,5,5,5,5,"Accurate interpretation of legal standards"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,3,4,3,4,"Correct but lacks additional context on exceptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,2,3,2,3,"Partially correct, lacks full legal context"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,4,4,3,4,"Misleading regarding basement exclusion"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,5,5,5,5,"Accurate legal interpretation for land transfer"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,2,2,1,2,"Incorrect details regarding pool registration"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,8,5,5,5,5,"Accurate legal interpretation for pool over 60m³"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,2,4,2,3,"Incorrect height information (15m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,1,3,1,2,"Missing roof slope details in the context"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,3,4,3,4,"General answer, lacks legal specifics"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,5,5,5,5,"Accurate and clear"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,5,5,5,5,"Accurate and complete interpretation"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,3,4,3,4,"Correct but lacks full context on exceptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,2,3,2,3,"Partially correct, lacks full legal context"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,4,4,3,4,"Misleading regarding basement exclusion and size restrictions"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,5,5,5,5,"Accurate interpretation of land transfer regulations"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,2,2,1,2,"Incorrect pool registration details"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,16,5,5,5,5,"Accurate legal interpretation for pool over 60m³"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,2,4,2,3,"Incorrect height (35m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,1,3,1,2,"Missing roof slope details in the context"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,3,4,3,4,"General answer, lacks legal specifics"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,5,5,5,5,"Accurate and clear"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,5,5,5,5,"Accurate interpretation of legal standards"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,3,4,3,4,"Correct but lacks full context on exceptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,2,3,2,3,"Partially correct, lacks full legal context"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,4,4,3,4,"Misleading regarding basement exclusion and size restrictions"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,5,5,5,5,"Accurate legal interpretation for land transfer"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,2,2,1,2,"Incorrect pool registration details"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,32,5,5,5,5,"Accurate legal interpretation for pool over 60m³"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,2,4,2,3,"Incorrect height (12m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,1,3,1,2,"Missing information on roof slope regulations"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,3,4,3,4,"Partial definition, missing specifics on area and location requirements"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,4,4,3,4,"20 cm vs. 1 meter discrepancy, partial answer"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,5,5,5,5,"Correct interpretation of the regulations"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,2,3,2,3,"General answer, lacks detail on exemptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,2,"Inaccurate interpretation of regulations"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,4,4,4,4,"Slight confusion between basement and above-ground area"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,3,4,3,4,"Partially accurate, missing detail on the 30% land transfer"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,4,4,3,4,"Missing specific conditions for pool registration"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,64,5,5,5,5,"Accurate and correct legal interpretation"
1,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,2,4,2,3,"Incorrect height (35m vs. 7.5m)"
2,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,1,3,1,2,"Missing specific information on roof slope"
3,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,3,4,3,4,"Partial definition, missing area requirements"
4,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,4,4,3,4,"20 cm vs. 1 meter discrepancy, partial answer"
5,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,5,5,5,5,"Accurate and complete answer"
6,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,2,3,2,3,"General answer, lacks detail on exemptions"
7,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,2,"Incorrect interpretation of regulations"
8,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,4,4,4,4,"Slight confusion between basement and above-ground area"
9,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,3,4,3,4,"Missing detail on land transfer (30% restriction)"
10,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,4,4,3,4,"Missing specific conditions for pool registration"
11,gemma3:27b,jinaai/jina-embeddings-v2-base-de,128,5,5,5,5,"Accurate legal interpretation and conditions"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,4,2,3,"Incorrect height (9m vs. 7.5m)"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Accurate and relevant answer"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,4,4,4,"Accurate definition but lacks full context"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Correct and precise"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Accurate and complete"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Accurate and complete"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,1,1,1,1,"Incorrect legal interpretation"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,2,2,2,"Incorrect reasoning and incomplete answer"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,4,3,4,"Missing details about land transfer restrictions"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,1,1,1,1,"Incorrect and irrelevant information"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Accurate and correct interpretation"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,4,3,4,"Conflicting height info (9m vs. 7.5m)"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Accurate and directly relevant"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,5,5,5,"Well-defined, but lacks full legal detail"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Accurate and precise"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Accurate interpretation"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Completely accurate"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,1,2,1,2,"Incorrect legal info (tool shed issue)"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,3,3,3,"Confusing calculation of area and basement exclusion"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,4,4,4,"Somewhat correct, lacks detail on restrictions"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2,2,2,2,"Incorrect details about pool registration"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Accurate and legally sound"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,4,3,4,"Conflicting height info (9m vs. 7.5m)"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Accurate and directly relevant"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,4,5,5,5,"Well-defined but lacks full legal detail"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Accurate and precise"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Accurate interpretation"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Completely accurate"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,1,2,1,2,"Incorrect legal info about tool shed"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,3,3,3,"Confusing calculation of area and basement exclusion"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,4,4,4,4,"Somewhat correct, lacks detail on restrictions"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,2,2,2,2,"Incorrect details about pool registration"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Accurate and legally sound"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,4,2,3,"Conflicting information about height (4 stories vs. 7.5m)"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,5,5,"Accurate and directly relevant answer"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,4,4,4,4,"Relevant but lacks full detail on specific usage types"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,5,5,"Accurate and concise"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,5,5,"Accurate interpretation of building regulations"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,4,4,4,4,"Accurate, but lacks full legal context"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,1,2,1,2,"Incorrect interpretation of tool shed regulation"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,3,2,3,"Misleading regarding basement exclusion in calculation"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,3,4,3,4,"Correct general interpretation, lacks detailed restrictions"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,2,2,2,"Incorrect details on pool registration requirement"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,5,5,"Accurate legal interpretation and condition"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,4,2,3,"Conflicting info about building height (1 story vs. 7.5m)"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Accurate and relevant answer"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,3,4,4,4,"General but valid, lacks full legal context"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Accurate and precise"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Correct and complete"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,4,4,4,4,"Correct, lacks full legal detail"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,2,1,2,"Incorrect interpretation of regulations"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,3,3,3,3,"Misleading regarding basement exclusion in calculation"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,4,4,4,4,"Correct general interpretation, lacks detail on restrictions"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,2,2,2,"Incorrect details on pool registration requirement"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Accurate legal interpretation and condition"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Accurate and consistent with regulations"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,3,1,2,"Lack of information about roof slope in the provided context"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,3,4,3,4,"General but valid, missing specific legal references"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Accurate and clear"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Correct and complete answer"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,3,3,2,3,"Partially correct, lacks context for exceptions"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,3,1,2,"Incorrect interpretation regarding tool shed regulation"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,3,3,3,3,"Incomplete reasoning about basement exclusions"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Accurate legal interpretation regarding land transfer"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,2,1,2,"Incorrect details about pool registration"
11,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Accurate and consistent with regulations"
1,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,2,1,2,"Missing relevant information on building height"
2,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,3,2,3,"Lack of detailed information about roof slope regulations"
3,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,3,4,3,4,"General but valid definition, lacks some legal context"
4,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,5,5,5,5,"Accurate and clear legal reference"
5,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,5,5,5,5,"Accurate and complete legal interpretation"
6,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,3,4,3,4,"Correct, but lacks full context for exemptions"
7,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,3,2,3,"Partially correct, needs full legal context"
8,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,4,4,3,4,"Misleading about basement exclusion and size requirements"
9,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,5,5,5,5,"Accurate interpretation of land transfer regulations"
10,gemma3:27b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,2,1,2,"Incorrect details regarding pool registration requirement"
